                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9441,                 3.6787,                 4.1723,                0.00302,                0.21136,                0.00184,                 0.0005,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 3.9558,                 3.4617,                 4.0981,                0.00311,                0.21767,                 0.0022,                0.00059,                      0,                    inf,                      0,               0.040724,              0.0065138,              0.0065138
                      2,                 3.9171,                 3.3819,                 4.0049,                0.00311,                0.21767,                0.00227,                0.00059,                      0,                    inf,                      0,               0.010593,               0.009716,               0.009716
                      3,                 3.7804,                 3.3054,                 3.8504,                0.02379,                0.00631,                0.00353,                0.00082,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 3.6526,                 3.1828,                  3.624,                0.12741,                0.06309,                0.03529,                0.00805,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 3.0925,                 2.8433,                  3.308,                0.13421,                0.04732,                 0.0191,                0.00493,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 2.8229,                 2.5733,                 3.0178,                0.28037,                0.21767,                0.18665,                0.05968,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.6086,                 2.3455,                 2.8107,                0.26914,                0.15142,                0.13734,                0.03935,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 2.4322,                  2.092,                 2.5784,                0.37206,                0.23975,                0.21413,                 0.0679,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.2908,                 1.9584,                  2.459,                 0.6138,                0.39117,                0.44036,                0.14803,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                  2.178,                 1.7848,                 2.3037,                0.72519,                0.62776,                0.70411,                0.29818,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 2.1765,                 1.7495,                 2.3063,                0.74807,                0.62145,                0.69777,                 0.3271,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 2.1052,                  1.645,                 2.2086,                0.73859,                 0.5836,                0.64761,                0.27504,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 2.0367,                 1.5805,                 2.1506,                0.50521,                0.41956,                0.44872,                0.20392,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.9762,                 1.5098,                 2.0644,                0.82898,                0.74929,                0.84395,                 0.4183,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                  1.954,                 1.4947,                 2.0576,                0.75572,                0.70032,                0.79791,                 0.4044,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.9119,                 1.4337,                 2.0131,                0.88609,                0.78549,                0.86357,                0.46233,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.8982,                 1.4264,                 1.9849,                0.79917,                0.78233,                0.80939,                0.42392,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.8835,                 1.3706,                 1.9475,                0.86626,                0.73817,                0.84141,                0.41993,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.8721,                 1.4017,                 1.9431,                0.91731,                0.70347,                0.86278,                0.43898,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                  1.798,                 1.3305,                 1.8928,                0.86438,                0.80426,                 0.8821,                0.47049,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.8078,                 1.3347,                 1.8906,                0.46665,                0.32568,                0.34921,                0.14559,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.7931,                 1.3185,                 1.8716,                0.86198,                0.76837,                0.85895,                0.45272,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.7464,                 1.2804,                 1.8421,                0.90621,                0.80126,                0.91317,                0.50598,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                   1.74,                 1.2582,                 1.8203,                0.88531,                 0.8279,                0.89847,                0.47112,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.7268,                 1.2167,                 1.8138,                0.87383,                0.77603,                0.87238,                0.44401,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.7102,                 1.2026,                 1.7979,                0.86702,                 0.8227,                0.90161,                0.50951,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.7289,                 1.2467,                 1.8128,                0.86998,                  0.781,                0.88411,                0.45606,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.6766,                 1.1585,                 1.7504,                0.87678,                0.81073,                0.88727,                 0.4896,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.6688,                  1.181,                 1.7857,                0.78428,                0.62145,                0.70881,                0.34606,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.6589,                 1.1557,                 1.7406,                0.91392,                0.78549,                0.90035,                0.50419,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.6514,                 1.1449,                 1.7355,                0.88682,                0.71684,                0.82051,                0.46171,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.6796,                 1.1337,                 1.7378,                0.91939,                0.86435,                0.93596,                 0.5243,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.6501,                 1.1115,                 1.7224,                 0.9048,                0.84858,                0.92815,                0.52472,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.5904,                 1.0811,                 1.6783,                0.91984,                 0.8612,                0.93769,                0.52673,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.6056,                 1.0777,                 1.7076,                0.88394,                0.80757,                0.89362,                0.48136,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.5942,                 1.0661,                 1.6714,                0.92175,                0.86435,                0.93129,                0.55495,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                  1.626,                 1.0456,                 1.6901,                 0.8981,                0.84227,                0.92843,                0.48833,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.5965,                 1.0812,                 1.6891,                0.88333,                0.83912,                0.88993,                0.52283,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                  1.589,                 1.0443,                 1.6725,                0.89511,                0.80765,                0.88393,                  0.496,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.5859,                 1.0847,                 1.6906,                0.92848,                0.85998,                0.93808,                0.54026,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                  1.586,                 1.0511,                 1.6645,                0.89546,                 0.8612,                0.92314,                0.53092,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.5679,                 1.0523,                 1.6715,                0.93452,                0.87382,                 0.9465,                0.57218,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.5657,                   1.02,                 1.6385,                0.92277,                0.87382,                0.93999,                0.52848,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.5677,                 1.0392,                 1.6465,                0.94242,                0.87772,                0.94352,                 0.5616,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.5339,                 1.0067,                 1.6349,                 0.9325,                0.87156,                0.94801,                 0.5499,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.5524,                0.97819,                 1.6118,                0.94071,                0.90852,                0.95033,                0.55919,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
