                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.6055,                 1.0836,                 1.6833,                0.85141,                0.78549,                0.83659,                0.46111,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.5931,                 1.0455,                 1.6724,                0.88401,                0.91364,                0.93493,                0.56133,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.5905,                  1.078,                 1.6831,                0.94036,                0.80757,                0.90478,                0.53062,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.5879,                 1.0477,                 1.6591,                0.95268,                0.88959,                0.96082,                0.56964,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.5706,                 1.0501,                 1.6591,                0.95719,                0.88644,                 0.9472,                0.54621,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.5717,                 1.0131,                 1.6321,                0.92368,                0.80757,                0.90073,                0.51592,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.5789,                 1.0291,                 1.6465,                0.92672,                0.87768,                 0.9403,                0.55501,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.5406,                0.99371,                 1.6255,                0.92449,                0.81107,                 0.8906,                0.50991,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.5536,                 0.9762,                 1.6024,                0.94997,                 0.8959,                0.95135,                0.55658,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.5062,                0.96747,                 1.5941,                0.92876,                0.90221,                0.94987,                0.54059,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.5393,                 1.0051,                 1.6508,                0.86678,                0.84149,                0.90674,                 0.5033,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.5361,                0.98924,                  1.586,                0.91751,                0.89905,                0.94522,                0.54623,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.4885,                0.95994,                 1.5993,                0.95706,                0.91403,                0.95733,                0.56881,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.4736,                0.92636,                 1.5622,                0.95722,                0.91766,                0.96349,                0.57404,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                  1.531,                0.96884,                 1.6199,                0.92731,                0.92565,                0.96447,                0.56502,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.5064,                 0.9223,                 1.5738,                0.94589,                0.93751,                0.97287,                0.58212,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.4996,                 0.9733,                 1.6038,                0.95906,                0.90852,                0.96529,                0.57005,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.4868,                0.93436,                 1.5672,                0.90752,                 0.8959,                0.94543,                0.51641,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.4716,                0.90483,                 1.5586,                0.93101,                0.90852,                0.95639,                0.54868,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.4666,                0.89464,                 1.5474,                0.89927,                0.77287,                0.86284,                0.46442,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.4822,                0.93162,                  1.585,                0.94852,                0.87183,                0.91948,                0.53686,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.4953,                0.92861,                 1.5683,                 0.9482,                0.93691,                0.96885,                0.57224,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.4668,                0.91947,                 1.5754,                0.95856,                0.94871,                0.97052,                0.59302,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.4196,                0.88432,                 1.5565,                0.96404,                0.93018,                0.97834,                0.58553,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.4506,                0.88116,                 1.5524,                 0.9419,                 0.9306,                0.96223,                0.58703,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.4371,                0.88801,                 1.5661,                0.93945,                0.92993,                0.96439,                0.60508,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.4119,                0.86399,                 1.5469,                0.95717,                0.91646,                0.96739,                0.60652,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.4374,                0.86773,                 1.5335,                0.96045,                0.91927,                0.96393,                0.58565,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.4272,                0.86339,                 1.5265,                0.94671,                0.95275,                0.96938,                 0.5957,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                  1.421,                0.86841,                 1.5487,                0.94059,                0.94953,                 0.9678,                0.58249,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.4515,                0.88679,                 1.5453,                0.93427,                0.92114,                0.95906,                0.57075,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                  1.397,                0.86216,                  1.536,                0.95191,                0.92114,                0.96416,                 0.5842,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.3986,                0.86034,                 1.5169,                0.97141,                 0.9306,                0.98141,                 0.5952,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.4153,                0.85923,                 1.5336,                 0.9568,                0.93691,                0.96668,                0.59452,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.3859,                0.84843,                 1.4996,                 0.9388,                 0.9306,                0.96308,                0.61139,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
